model	name	type	hash	6.1	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0
ir.module.module		module	ACCOUNT_ANALYTIC_PLANS|ACCOUNT_ANALYTIC_DISTRIBUTION	account_analytic_plans	account_analytic_plans	account_analytic_plans	account_analytic_distribution	account_analytic_distribution	account_analytic_distribution	account_analytic_distribution	account_analytic_distribution	account_analytic_distribution
ir.module.module		module	ACCOUNT_BALANCE_REPORTING_XLS|ACCOUNT_BALANCE_REPORTING_XLSX	account_balance_reporting_xls	account_balance_reporting_xls	account_balance_reporting_xls	account_balance_reporting_xlsx	account_balance_reporting_xlsx	account_balance_reporting_xlsx	account_balance_reporting_xlsx	account_balance_reporting_xlsx	account_balance_reporting_xlsx
ir.module.module		module	ACCOUNT_BANKING_CAMT|ACCOUNT_BANK_STATEMENT_IMPORT_CAMT	account_banking_camt	account_banking_camt	account_banking_camt	account_banking_camt	account_bank_statement_import_camt	account_bank_statement_import_camt	account_bank_statement_import_camt	account_bank_statement_import_camt	account_bank_statement_import_camt
ir.module.module		module	ACCOUNT_BANKING_MT940|ACCOUNT_BANK_STATEMENT_IMPORT_MT940_BASE	account_banking_mt940	account_banking_mt940	account_banking_mt940	account_banking_mt940	account_bank_statement_import_mt940_base	account_bank_statement_import_mt940_base	account_bank_statement_import_mt940_base	account_bank_statement_import_mt940_base	account_bank_statement_import_mt940_base
ir.module.module		module	ACCOUNT_BANKING_NL_ING_MT940|ACCOUNT_BANK_STATEMENT_IMPORT_MT940_NL_ING	account_banking_nl_ing_mt940	account_banking_nl_ing_mt940	account_banking_nl_ing_mt940	account_banking_nl_ing_mt940	account_bank_statement_import_mt940_nl_ing	account_bank_statement_import_mt940_nl_ing	account_bank_statement_import_mt940_nl_ing	account_bank_statement_import_mt940_nl_ing	account_bank_statement_import_mt940_nl_ing
ir.module.module		module	ACCOUNT_BANKING_NL_RABO_MT940|ACCOUNT_BANK_STATEMENT_IMPORT_MT940_NL_RABO	account_banking_nl_rabo_mt940	account_banking_nl_rabo_mt940	account_banking_nl_rabo_mt940	account_banking_nl_rabo_mt940	account_bank_statement_import_mt940_nl_rabo	account_bank_statement_import_mt940_nl_rabo	account_bank_statement_import_mt940_nl_rabo	account_bank_statement_import_mt940_nl_rabo	account_bank_statement_import_mt940_nl_rabo
ir.module.module		module	ACCOUNT_BANKING|ACCOUNT_BANK_STATEMENT_IMPORT	account_banking	account_banking	account_banking	account_banking	account_bank_statement_import	account_bank_statement_import	account_bank_statement_import	account_bank_statement_import	account_bank_statement_import
ir.module.module		module	ACCOUNT_CASH_BASIS_BASE_ACCOUNT|ACCOUNT	account_cash_basis_base_account	account_cash_basis_base_account	account_cash_basis_base_account	account_cash_basis_base_account	account_cash_basis_base_account	account_cash_basis_base_account	account	account	account
ir.module.module		module	ACCOUNT_CHECK_WRITING|ACCOUNT_CHECK_PRINTING	account_check_writing	account_check_writing	account_check_writing	account_check_printing	account_check_printing	account_check_printing	account_check_printing	account_check_printing	account_check_printing
ir.module.module		module	ACCOUNT_DUE_LIST_AGING_COMMENTS|ACCOUNT_DUE_LIST_AGING_COMMENT	account_due_list_aging_comments	account_due_list_aging_comments	account_due_list_aging_comments	account_due_list_aging_comments	account_due_list_aging_comments	account_due_list_aging_comment	account_due_list_aging_comment	account_due_list_aging_comment	account_due_list_aging_comment
ir.module.module		module	ACCOUNT_FINANCIAL_REPORT_WEBKIT|ACCOUNT_FINANCIAL_REPORT_QWEB|ACCOUNT_FINANCIAL_REPORT	account_financial_report_webkit	account_financial_report_webkit	account_financial_report_webkit	account_financial_report_qweb	account_financial_report_qweb	account_financial_report_qweb	account_financial_report	account_financial_report	account_financial_report
ir.module.module		module	ACCOUNT_GROUP|ACCOUNT	account_group	account_group	account_group	account_group	account_group	account	account	account	account
ir.module.module		module	ACCOUNT_INVOICE_GROUP_PICKING|ACCOUNT_INVOICE_REPORT_GROUPED_BY_PICKING	account_invoice_group_picking	account_invoice_group_picking	account_invoice_group_picking	account_invoice_group_picking	account_invoice_report_grouped_by_picking	account_invoice_report_grouped_by_picking	account_invoice_report_grouped_by_picking	account_invoice_report_grouped_by_picking	account_invoice_report_grouped_by_picking
ir.module.module		module	ACCOUNT_INVOICE_ZERO|ACCOUNT_INVOICE_ZERO_AUTOPAY	account_invoice_zero	account_invoice_zero	account_invoice_zero	account_invoice_zero	account_invoice_zero_autopay	account_invoice_zero_autopay	account_invoice_zero_autopay	account_invoice_zero_autopay	account_invoice_zero_autopay
ir.module.module		module	ACCOUNT_INVOICING|ACCOUNT	account_invoicing	account_invoicing	account_invoicing	account_invoicing	account_invoicing	account_invoicing	account	account	account
ir.module.module		module	ACCOUNT_JOURNAL_REPORT_XLS|ACCOUNT_JOURNAL_REPORT	account_journal_report_xls	account_journal_report_xls	account_journal_report_xls	account_journal_report	account_journal_report	account_journal_report	account_journal_report	account_journal_report	account_journal_report
ir.module.module		module	ACCOUNT_PAYMENT_RETURN_IMPORT_SEPA_PAIN|ACCOUNT_PAYMENT_RETURN_IMPORT_ISO20022	account_payment_return_import_sepa_pain	account_payment_return_import_sepa_pain	account_payment_return_import_sepa_pain	account_payment_return_import_sepa_pain	account_payment_return_import_sepa_pain	account_payment_return_import_sepa_pain	account_payment_return_import_iso20022	account_payment_return_import_iso20022	account_payment_return_import_iso20022
ir.module.module		module	ACCOUNT_PAYMENT|ACCOUNT_PAYMENT_ORDER	account_payment	account_payment	account_payment	account_payment_order	account_payment_order	account_payment_order	account_payment_order	account_payment_order	account_payment_order
ir.module.module		module	ACCOUNT_REFUND_ORIGINAL|ACCOUNT_INVOICE_REFUND_LINK	account_refund_original	account_refund_original	account_refund_original	account_invoice_refund_link	account_invoice_refund_link	account_invoice_refund_link	account_invoice_refund_link	account_invoice_refund_link	account_invoice_refund_link
ir.module.module		module	ACCOUNT_REVERSAL|ACCOUNT	account_reversal	account_reversal	account_reversal	account_reversal	account_reversal	account_reversal	account	account	account
ir.module.module		module	ACCOUNT_TAX_CASH_BASIS|ACCOUNT	account_tax_cash_basis	account_tax_cash_basis	account_tax_cash_basis	account_tax_cash_basis	account_tax_cash_basis	account	account	account	account
ir.module.module		module	AUDITTRAIL|AUDITLOG	audittrail	audittrail	audittrail	audittrail	auditlog	auditlog	auditlog	auditlog	auditlog
ir.module.module		module	AUTH_BRUTE_FORCE|BASE	auth_brute_force	auth_brute_force	auth_brute_force	auth_brute_force	auth_brute_force	auth_brute_force	base	base	base
ir.module.module		module	AUTH_CRYPT|BASE	auth_crypt	auth_crypt	auth_crypt	auth_crypt	auth_crypt	auth_crypt	base	base	base
ir.module.module		module	BASE_ACTION_RULE|BASE_AUTOMATION	base_action_rule	base_action_rule	base_action_rule	base_action_rule	base_action_rule	base_automation	base_automation	base_automation	base_automation
ir.module.module		module	BASE_CALENDAR|CALENDAR	base_calendar	base_calendar	base_calendar	base_calendar	calendar	calendar	calendar	calendar	calendar
ir.module.module		module	BASE_CONDITION_TEMPLATE|BASE_COMMENT_TEMPLATE	base_condition_template	base_condition_template	base_condition_template	base_condition_template	base_comment_template	base_comment_template	base_comment_template	base_comment_template	base_comment_template
ir.module.module		module	BASE_PARTNER_MERGE|BASE	base_partner_merge	base_partner_merge	base_partner_merge	base_partner_merge	base_partner_merge	base_partner_merge	base	base	base
ir.module.module		module	BASE_VAT_AUTOCOMPLETE|PARTNER_AUTOCOMPLETE	base_vat_autocomplete	base_vat_autocomplete	base_vat_autocomplete	base_vat_autocomplete	base_vat_autocomplete	base_vat_autocomplete	partner_autocomplete	partner_autocomplete	partner_autocomplete
ir.module.module		module	CONNECTOR|QUEUE_JOB	connector	connector	connector	connector	queue_job	queue_job	queue_job	queue_job	queue_job
ir.module.module		module	CONTRACT_RECURRING_PLANS|CONTRACT_RECURRING_ANALYTIC_DISTRIBUTION	contract_recurring_plans	contract_recurring_plans	contract_recurring_plans	contract_recurring_analytic_distribution	contract_recurring_analytic_distribution	contract_recurring_analytic_distribution	contract_recurring_analytic_distribution	contract_recurring_analytic_distribution	contract_recurring_analytic_distribution
ir.module.module		module	CRM_DEDUPLICATE_ACL|PARTNER_DEDUPLICATE_ACL	crm_deduplicate_acl	crm_deduplicate_acl	crm_deduplicate_acl	crm_deduplicate_acl	crm_deduplicate_acl	crm_deduplicate_acl	partner_deduplicate_acl	partner_deduplicate_acl	partner_deduplicate_acl
ir.module.module		module	CRM_DEDUPLICATE_FILTER|PARTNER_DEDUPLICATE_FILTER	crm_deduplicate_filter	crm_deduplicate_filter	crm_deduplicate_filter	crm_deduplicate_filter	crm_deduplicate_filter	crm_deduplicate_filter	partner_deduplicate_filter	partner_deduplicate_filter	partner_deduplicate_filter
ir.module.module		module	CRM_LEAD_WEBSITE|CRM	crm_lead_website	crm_lead_website	crm_lead_website	crm_lead_website	crm_lead_website	crm	crm	crm	crm
ir.module.module		module	CRM_PROJECT_ISSUE|CRM_PROJECT	crm_project_issue	crm_project_issue	crm_project_issue	crm_project_issue	crm_project_issue	crm_project	crm_project	crm_project	crm_project
ir.module.module		module	CRM_SECTOR|CRM_INDUSTRY	crm_sector	crm_sector	crm_sector	crm_sector	crm_sector	crm_industry	crm_industry	crm_industry	crm_industry
ir.module.module		module	DISABLE_OPENERP_ONLINE|DISABLE_ODOO_ONLINE	disable_openerp_online	disable_openerp_online	disable_openerp_online	disable_odoo_online	disable_odoo_online	disable_odoo_online	disable_odoo_online	disable_odoo_online	disable_odoo_online
ir.module.module		module	HR_EXPENSE_ANALYTIC_PLANS|HR_EXPENSE_ANALYTIC_DISTRIBUTION	hr_expense_analytic_plans	hr_expense_analytic_plans	hr_expense_analytic_plans	hr_expense_analytic_distribution	hr_expense_analytic_distribution	hr_expense_analytic_distribution	hr_expense_analytic_distribution	hr_expense_analytic_distribution	hr_expense_analytic_distribution
ir.module.module		module	HR_HOLIDAY_NOTIFY_EMPLOYEE_MANAGER|HR_HOLIDAYS_NOTIFY_EMPLOYEE_MANAGER	hr_holiday_notify_employee_manager	hr_holiday_notify_employee_manager	hr_holiday_notify_employee_manager	hr_holiday_notify_employee_manager	hr_holidays_notify_employee_manager	hr_holidays_notify_employee_manager	hr_holidays_notify_employee_manager	hr_holidays_notify_employee_manager	hr_holidays_notify_employee_manager
ir.module.module		module	HR_PUBLIC_HOLIDAYS|HR_HOLIDAYS_PUBLIC	hr_public_holidays	hr_public_holidays	hr_public_holidays	hr_public_holidays	hr_public_holidays	hr_holidays_public	hr_holidays_public	hr_holidays_public	hr_holidays_public
ir.module.module		module	HR_TIMESHEET_HOLIDAYS|HR_TIMESHEET_HOLIDAY	hr_timesheet_holidays	hr_timesheet_holidays	hr_timesheet_holidays	hr_timesheet_holidays	hr_timesheet_holiday	hr_timesheet_holiday	hr_timesheet_holiday	hr_timesheet_holiday	hr_timesheet_holiday
ir.module.module		module	HR_TIMESHEET_SHEET_RESTRICT_ANALYTIC|HR_TIMESHEET_SHEET_RESTRICT_PROJECT	hr_timesheet_sheet_restrict_analytic	hr_timesheet_sheet_restrict_analytic	hr_timesheet_sheet_restrict_analytic	hr_timesheet_sheet_restrict_analytic	hr_timesheet_sheet_restrict_project	hr_timesheet_sheet_restrict_project	hr_timesheet_sheet_restrict_project	hr_timesheet_sheet_restrict_project	hr_timesheet_sheet_restrict_project
ir.module.module		module	HR_TIMESHEET_SHEET_WEEK_START_DAY|HR_TIMESHEET_SHEET	hr_timesheet_sheet_week_start_day	hr_timesheet_sheet_week_start_day	hr_timesheet_sheet_week_start_day	hr_timesheet_sheet_week_start_day	hr_timesheet_sheet_week_start_day	hr_timesheet_sheet	hr_timesheet_sheet	hr_timesheet_sheet	hr_timesheet_sheet
ir.module.module		module	INACTIVE_SESSION_TIMEOUT|AUTH_SESSION_TIMEOUT	inactive_session_timeout	inactive_session_timeout	inactive_session_timeout	auth_session_timeout	auth_session_timeout	auth_session_timeout	auth_session_timeout	auth_session_timeout	auth_session_timeout
ir.module.module		module	INVOICE_COMMENT_TEMPLATE|ACCOUNT_INVOICE_COMMENT_TEMPLATE	invoice_comment_template	invoice_comment_template	invoice_comment_template	invoice_comment_template	invoice_comment_template	account_invoice_comment_template	account_invoice_comment_template	account_invoice_comment_template	account_invoice_comment_template
ir.module.module		module	INVOICE_FISCAL_POSITION_UPDATE|ACCOUNT_INVOICE_FISCAL_POSITION_UPDATE	invoice_fiscal_position_update	invoice_fiscal_position_update	invoice_fiscal_position_update	account_invoice_fiscal_position_update	account_invoice_fiscal_position_update	account_invoice_fiscal_position_update	account_invoice_fiscal_position_update	account_invoice_fiscal_position_update	account_invoice_fiscal_position_update
ir.module.module		module	INVOICE_VALIDATION_WKFL|ACCOUNT_INVOICE_VALIDATION_WORKFLOW	invoice_validation_wkfl	invoice_validation_wkfl	invoice_validation_wkfl	invoice_validation_wkfl	account_invoice_validation_workflow	account_invoice_validation_workflow	account_invoice_validation_workflow	account_invoice_validation_workflow	account_invoice_validation_workflow
ir.module.module		module	L10N_ES_FISCAL_YEAR_CLOSING|L10N_ES_ACCOUNT_FISCAL_YEAR_CLOSING	l10n_es_fiscal_year_closing	l10n_es_fiscal_year_closing	l10n_es_fiscal_year_closing	l10n_es_account_fiscal_year_closing	l10n_es_account_fiscal_year_closing	l10n_es_account_fiscal_year_closing	l10n_es_account_fiscal_year_closing	l10n_es_account_fiscal_year_closing	l10n_es_account_fiscal_year_closing
ir.module.module		module	L10N_IT_DDT_WEBKIT|L10N_IT_DDT	l10n_it_DDT_webkit	l10n_it_DDT_webkit	l10n_it_ddt	l10n_it_ddt	l10n_it_ddt	l10n_it_ddt	l10n_it_ddt	l10n_it_ddt	l10n_it_ddt
ir.module.module		module	MAIL_ACTIVITY_CALENDAR|CALENDAR	mail_activity_calendar	mail_activity_calendar	mail_activity_calendar	mail_activity_calendar	mail_activity_calendar	calendar	calendar	calendar	calendar
ir.module.module		module	MAIL_ACTIVITY_CRM|CRM	mail_activity_crm	mail_activity_crm	mail_activity_crm	mail_activity_crm	mail_activity_crm	crm	crm	crm	crm
ir.module.module		module	MAIL_ACTIVITY|MAIL	mail_activity	mail_activity	mail_activity	mail_activity	mail_activity	mail	mail	mail	mail
ir.module.module		module	MAIL_LOG_MESSAGE_TO_PROCESS|FETCHMAIL_INCOMING_LOG	mail_log_message_to_process	mail_log_message_to_process	mail_log_message_to_process	mail_log_message_to_process	mail_log_message_to_process	fetchmail_incoming_log	fetchmail_incoming_log	fetchmail_incoming_log	fetchmail_incoming_log
ir.module.module		module	MAIL_LOG_MESSAGES_TO_PROCESS|MAIL_LOG_MESSAGE_TO_PROCESS	mail_log_messages_to_process	mail_log_messages_to_process	mail_log_messages_to_process	mail_log_messages_to_process	mail_log_message_to_process	mail_log_message_to_process	mail_log_message_to_process	mail_log_message_to_process	mail_log_message_to_process
ir.module.module		module	MAIL_MESSAGE_NAME_SEARCH|BASE_SEARCH_MAIL_CONTENT	mail_message_name_search	mail_message_name_search	mail_message_name_search	base_search_mail_content	base_search_mail_content	base_search_mail_content	base_search_mail_content	base_search_mail_content	base_search_mail_content
ir.module.module		module	MARKETING_SECURITY_GROUP|MASS_MAILING_SECURITY_GROUP	marketing_security_group	marketing_security_group	marketing_security_group	mass_mailing_security_group	mass_mailing_security_group	mass_mailing_security_group	mass_mailing_security_group	mass_mailing_security_group	mass_mailing_security_group
ir.module.module		module	MEMBERSHIP_PRORRATE_VARIABLE_PERIOD|MEMBERSHIP_PRORATE_VARIABLE_PERIOD	membership_prorrate_variable_period	membership_prorrate_variable_period	membership_prorrate_variable_period	membership_prorrate_variable_period	membership_prorrate_variable_period	membership_prorate_variable_period	membership_prorate_variable_period	membership_prorate_variable_period	membership_prorate_variable_period
ir.module.module		module	MEMBERSHIP_PRORRATE|MEMBERSHIP_PRORATE	membership_prorrate	membership_prorrate	membership_prorrate	membership_prorrate	membership_prorrate	membership_prorate	membership_prorate	membership_prorate	membership_prorate
ir.module.module		module	MRP_BOM_STRUCTURE_XLS_LEVEL_1|MRP_BOM_STRUCTURE_XLSX_LEVEL_1	mrp_bom_structure_xls_level_1	mrp_bom_structure_xls_level_1	mrp_bom_structure_xls_level_1	mrp_bom_structure_xlsx_level_1	mrp_bom_structure_xlsx_level_1	mrp_bom_structure_xlsx_level_1	mrp_bom_structure_xlsx_level_1	mrp_bom_structure_xlsx_level_1	mrp_bom_structure_xlsx_level_1
ir.module.module		module	MRP_BOM_STRUCTURE_XLS|MRP_BOM_STRUCTURE_XLSX	mrp_bom_structure_xls	mrp_bom_structure_xls	mrp_bom_structure_xls	mrp_bom_structure_xlsx	mrp_bom_structure_xlsx	mrp_bom_structure_xlsx	mrp_bom_structure_xlsx	mrp_bom_structure_xlsx	mrp_bom_structure_xlsx
ir.module.module		module	MRP_JIT|PROCUREMENT_JIT	mrp_jit	mrp_jit	mrp_jit	mrp_jit	procurement_jit	procurement_jit	procurement_jit	procurement_jit	procurement_jit
ir.module.module		module	PARTNER_EXTERNAL_MAPS|PARTNER_EXTERNAL_MAP	partner_external_maps	partner_external_maps	partner_external_maps	partner_external_map	partner_external_map	partner_external_map	partner_external_map	partner_external_map	partner_external_map
ir.module.module		module	PARTNER_FINANCIAL_RISK|ACCOUNT_FINANCIAL_RISK	partner_financial_risk	partner_financial_risk	partner_financial_risk	partner_financial_risk	partner_financial_risk	account_financial_risk	account_financial_risk	account_financial_risk	account_financial_risk
ir.module.module		module	PARTNER_PAYMENT_RETURN_RISK|ACCOUNT_PAYMENT_RETURN_FINANCIAL_RISK	partner_payment_return_risk	partner_payment_return_risk	partner_payment_return_risk	partner_payment_return_risk	partner_payment_return_risk	account_payment_return_financial_risk	account_payment_return_financial_risk	account_payment_return_financial_risk	account_payment_return_financial_risk
ir.module.module		module	PARTNER_RELATIONS|PARTNER_MULTI_RELATION	partner_relations	partner_relations	partner_relations	partner_multi_relation	partner_multi_relation	partner_multi_relation	partner_multi_relation	partner_multi_relation	partner_multi_relation
ir.module.module		module	PARTNER_SALE_RISK|SALE_FINANCIAL_RISK	partner_sale_risk	partner_sale_risk	partner_sale_risk	partner_sale_risk	partner_sale_risk	sale_financial_risk	sale_financial_risk	sale_financial_risk	sale_financial_risk
ir.module.module		module	PARTNER_SECTOR|PARTNER_INDUSTRY_SECONDARY	partner_sector	partner_sector	partner_sector	partner_sector	partner_sector	partner_industry_secondary	partner_industry_secondary	partner_industry_secondary	partner_industry_secondary
ir.module.module		module	PAYDAYS|ACCOUNT_PAYMENT_TERM_MULTI_DAY	paydays	paydays	paydays	paydays	account_payment_term_multi_day	account_payment_term_multi_day	account_payment_term_multi_day	account_payment_term_multi_day	account_payment_term_multi_day
ir.module.module		module	PORTAL_CLAIM|WEBSITE_CRM_CLAIM	portal_claim	portal_claim	portal_claim	website_crm_claim	website_crm_claim	website_crm_claim	website_crm_claim	website_crm_claim	website_crm_claim
ir.module.module		module	PORTAL_GAMIFICATION|GAMIFICATION	portal_gamification	portal_gamification	portal_gamification	portal_gamification	portal_gamification	gamification	gamification	gamification	gamification
ir.module.module		module	PORTAL_PAYMENT_MODE|ACCOUNT_PAYMENT_MODE	portal_payment_mode	portal_payment_mode	portal_payment_mode	portal_payment_mode	portal_payment_mode	account_payment_mode	account_payment_mode	account_payment_mode	account_payment_mode
ir.module.module		module	PORTAL_SALE|SALE	portal_sale	portal_sale	portal_sale	portal_sale	portal_sale	sale	sale	sale	sale
ir.module.module		module	PORTAL_STOCK|PORTAL	portal_stock	portal_stock	portal_stock	portal_stock	portal_stock	portal	portal	portal	portal
ir.module.module		module	PROCUREMENT|STOCK	procurement	procurement	procurement	procurement	procurement	stock	stock	stock	stock
ir.module.module		module	PRODUCT_BARCODE_GENERATOR|BARCODES_GENERATOR_PRODUCT	product_barcode_generator	product_barcode_generator	product_barcode_generator	barcodes_generator_product	barcodes_generator_product	barcodes_generator_product	barcodes_generator_product	barcodes_generator_product	barcodes_generator_product
ir.module.module		module	PRODUCT_BRAND_INVOICE_REPORT|PRODUCT_BRAND	product_brand_invoice_report	product_brand_invoice_report	product_brand_invoice_report	product_brand_invoice_report	product_brand_invoice_report	product_brand	product_brand	product_brand	product_brand
ir.module.module		module	PRODUCT_BRAND_SALE_REPORT|PRODUCT_BRAND	product_brand_sale_report	product_brand_sale_report	product_brand_sale_report	product_brand_sale_report	product_brand_sale_report	product_brand	product_brand	product_brand	product_brand
ir.module.module		module	PRODUCT_BY_SUPPLIER|PURCHASE	product_by_supplier	product_by_supplier	product_by_supplier	product_by_supplier	product_by_supplier	purchase	purchase	purchase	purchase
ir.module.module		module	PRODUCT_CUSTOMER_CODE_PICKING|PRODUCT_SUPPLIERINFO_FOR_CUSTOMER_PICKING	product_customer_code_picking	product_customer_code_picking	product_customer_code_picking	product_customer_code_picking	product_supplierinfo_for_customer_picking	product_supplierinfo_for_customer_picking	product_supplierinfo_for_customer_picking	product_supplierinfo_for_customer_picking	product_supplierinfo_for_customer_picking
ir.module.module		module	PRODUCT_EXTENDED|MRP_BOM_COST	product_extended	product_extended	product_extended	product_extended	product_extended	product_extended	mrp_bom_cost	mrp_bom_cost	mrp_bom_cost
ir.module.module		module	PRODUCT_IMAGES|PRODUCT_MULTI_IMAGE	product_images	product_images	product_images	product_images	product_multi_image	product_multi_image	product_multi_image	product_multi_image	product_multi_image
ir.module.module		module	PRODUCT_LINKS|PRODUCT_MULTI_LINK	product_links	product_links	product_links	product_multi_link	product_multi_link	product_multi_link	product_multi_link	product_multi_link	product_multi_link
ir.module.module		module	PRODUCT_M2M_CATEGORIES|PRODUCT_MULTI_CATEGORY	product_m2m_categories	product_m2m_categories	product_m2m_categories	product_multi_category	product_multi_category	product_multi_category	product_multi_category	product_multi_category	product_multi_category
ir.module.module		module	PRODUCT_UOM_UNECE|UOM_UNECE	product_uom_unece	product_uom_unece	product_uom_unece	product_uom_unece	product_uom_unece	product_uom_unece	uom_unece	uom_unece	uom_unece
ir.module.module		module	PRODUCT_UOM|PRODUCT_UOM_EXTRA_DATA	product_uom	product_uom	product_uom	product_uom	product_uom	product_uom_extra_data	product_uom_extra_data	product_uom_extra_data	product_uom_extra_data
ir.module.module		module	PRODUCT_VARIANT_SUPPLIERINFO|PRODUCT	product_variant_supplierinfo	product_variant_supplierinfo	product_variant_supplierinfo	product_variant_supplierinfo	product_variant_supplierinfo	product	product	product	product
ir.module.module		module	PRODUCT_VARIANTS_NO_AUTOMATIC_CREATION|PRODUCT_VARIANT_CONFIGURATOR	product_variants_no_automatic_creation	product_variants_no_automatic_creation	product_variants_no_automatic_creation	product_variant_configurator	product_variant_configurator	product_variant_configurator	product_variant_configurator	product_variant_configurator	product_variant_configurator
ir.module.module		module	PROJECT_ISSUE_SHEET|HR_TIMESHEET	project_issue_sheet	project_issue_sheet	project_issue_sheet	project_issue_sheet	project_issue_sheet	hr_timesheet	hr_timesheet	hr_timesheet	hr_timesheet
ir.module.module		module	PROJECT_ISSUE_TIMESHEET_TIME_CONTROL|PROJECT_TIMESHEET_TIME_CONTROL	project_issue_timesheet_time_control	project_issue_timesheet_time_control	project_issue_timesheet_time_control	project_issue_timesheet_time_control	project_issue_timesheet_time_control	project_timesheet_time_control	project_timesheet_time_control	project_timesheet_time_control	project_timesheet_time_control
ir.module.module		module	PROJECT_ISSUE|PROJECT	project_issue	project_issue	project_issue	project_issue	project_issue	project	project	project	project
ir.module.module		module	PROJECT_MRP|SALE_SERVICE	project_mrp	project_mrp	project_mrp	project_mrp	sale_service	sale_service	sale_service	sale_service	sale_service
ir.module.module		module	PROJECT_TASK_MATERIALS|PROJECT_TASK_MATERIAL	project_task_materials	project_task_materials	project_task_materials	project_task_materials	project_task_material	project_task_material	project_task_material	project_task_material	project_task_material
ir.module.module		module	PROJECT_WORK_TIME_CONTROL|PROJECT_TIMESHEET_TIME_CONTROL	project_work_time_control	project_work_time_control	project_work_time_control	project_timesheet_time_control	project_timesheet_time_control	project_timesheet_time_control	project_timesheet_time_control	project_timesheet_time_control	project_timesheet_time_control
ir.module.module		module	PURCHASE_ANALYTIC_PLANS|PURCHASE_ANALYTIC_DISTRIBUTION	purchase_analytic_plans	purchase_analytic_plans	purchase_analytic_plans	purchase_analytic_distribution	purchase_analytic_distribution	purchase_analytic_distribution	purchase_analytic_distribution	purchase_analytic_distribution	purchase_analytic_distribution
ir.module.module		module	PURCHASE_ORDER_REORDER_LINES|PURCHASE_ORDER_LINE_SEQUENCE	purchase_order_reorder_lines	purchase_order_reorder_lines	purchase_order_reorder_lines	purchase_order_line_sequence	purchase_order_line_sequence	purchase_order_line_sequence	purchase_order_line_sequence	purchase_order_line_sequence	purchase_order_line_sequence
ir.module.module		module	PURCHASE_PRODUCT_VARIANTS|PURCHASE_VARIANT_CONFIGURATOR	purchase_product_variants	purchase_product_variants	purchase_product_variants	purchase_variant_configurator	purchase_variant_configurator	purchase_variant_configurator	purchase_variant_configurator	purchase_variant_configurator	purchase_variant_configurator
ir.module.module		module	PURCHASE_REPORTING_WEIGHT|PRODUCT_WEIGHT_THROUGH_UOM	purchase_reporting_weight	purchase_reporting_weight	purchase_reporting_weight	purchase_reporting_weight	purchase_reporting_weight	product_weight_through_uom	product_weight_through_uom	product_weight_through_uom	product_weight_through_uom
ir.module.module		module	PURCHASE_REQUEST_PROCUREMENT|PURCHASE_REQUEST	purchase_request_procurement	purchase_request_procurement	purchase_request_procurement	purchase_request_procurement	purchase_request_procurement	purchase_request	purchase_request	purchase_request	purchase_request
ir.module.module		module	PURCHASE_REQUEST_TO_RFQ_ORDER_APPROVED|PURCHASE_REQUEST_ORDER_APPROVED	purchase_request_to_rfq_order_approved	purchase_request_to_rfq_order_approved	purchase_request_to_rfq_order_approved	purchase_request_to_rfq_order_approved	purchase_request_to_rfq_order_approved	purchase_request_order_approved	purchase_request_order_approved	purchase_request_order_approved	purchase_request_order_approved
ir.module.module		module	PURCHASE_REQUEST_TO_RFQ|PURCHASE_REQUEST	purchase_request_to_rfq	purchase_request_to_rfq	purchase_request_to_rfq	purchase_request_to_rfq	purchase_request_to_rfq	purchase_request	purchase_request	purchase_request	purchase_request
ir.module.module		module	RATING_PROJECT|PROJECT	rating_project	rating_project	rating_project	rating_project	rating_project	rating_project	project	project	project
ir.module.module		module	REPORT_MRP_BOM_MATRIX|MRP_BOM_MATRIX_REPORT	report_mrp_bom_matrix	report_mrp_bom_matrix	report_mrp_bom_matrix	report_mrp_bom_matrix	mrp_bom_matrix_report	mrp_bom_matrix_report	mrp_bom_matrix_report	mrp_bom_matrix_report	mrp_bom_matrix_report
ir.module.module		module	REPORT|BASE	report	report	report	report	report	base	base	base	base
ir.module.module		module	RES_PARTNER_AFFILIATE|PARTNER_AFFILIATE	res_partner_affiliate	res_partner_affiliate	res_partner_affiliate	res_partner_affiliate	partner_affiliate	partner_affiliate	partner_affiliate	partner_affiliate	partner_affiliate
ir.module.module		module	RUNBOT_SECURE|RUNBOT_RELATIVE	runbot_secure	runbot_secure	runbot_secure	runbot_relative	runbot_relative	runbot_relative	runbot_relative	runbot_relative	runbot_relative
ir.module.module		module	SALE_ANALYTIC_PLANS|SALE_ANALYTIC_DISTRIBUTION	sale_analytic_plans	sale_analytic_plans	sale_analytic_plans	sale_analytic_distribution	sale_analytic_distribution	sale_analytic_distribution	sale_analytic_distribution	sale_analytic_distribution	sale_analytic_distribution
ir.module.module		module	SALE_CONDITION_TEMPLATE|SALE_COMMENT_TEMPLATE	sale_condition_template	sale_condition_template	sale_condition_template	sale_condition_template	sale_comment_template	sale_comment_template	sale_comment_template	sale_comment_template	sale_comment_template
