model	name	type	hash	6.1	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0
account.invoice		field	PAYMENT_TERM|PAYMENT_TERM_ID	payment_term	payment_term	payment_term	payment_term_id	payment_term_id	payment_term_id	payment_term_id	payment_term_id	payment_term_id
account.invoice		field	SUPPLIER_INVOICE_NUMBER|REFERENCE	supplier_invoice_number	supplier_invoice_number	supplier_invoice_number	reference	reference	reference	reference	reference	reference
account.invoice.line		field	INVOICE_LINE_TAX_ID|INVOICE_LINE_TAX_IDS	invoice_line_tax_id	invoice_line_tax_id	invoice_line_tax_id	invoice_line_tax_ids	invoice_line_tax_ids	invoice_line_tax_ids	invoice_line_tax_ids	invoice_line_tax_ids	invoice_line_tax_ids
account.invoice.line		field	UOS_ID|UOM_ID	uos_id	uos_id	uos_id	uom_id	uom_id	uom_id	uom_id	uom_id	uom_id
account.journal	type	value	PURCHASE_REFUND|PURCHASE	purchase_refund	purchase_refund	purchase_refund	purchase_refund	purchase	purchase	purchase	purchase	purchase
account.journal	type	value	SALE_REFUND|SALE	sale_refund	sale_refund	sale_refund	sale_refund	sale	sale	sale	sale	sale
account.move.line		field	RECONCILED|RECONCILE_ID	reconciled	reconciled	reconciled	reconciled	reconcile_id	reconcile_id	reconcile_id	reconcile_id	reconcile_id
"account.payment.term
"	"account.payment.term
"	value	procent|percent	procent	procent	procent	percent	percent	percent	percent	percent	percent
account.tax		field	ACCOUNT_COLLECTED_ID|ACCOUNT_ID	account_collected_id	account_collected_id	account_collected_id	account_id	account_id	account_id	account_id	account_id	account_id
account.tax		field	ACCOUNT_PAID_ID|REFUND_ACCOUNT_ID	account_paid_id	account_paid_id	account_paid_id	refund_account_id	refund_account_id	refund_account_id	refund_account_id	refund_account_id	refund_account_id
account.tax		field	TYPE|TYPE_TAX_USE	type	type	type	type_tax_use	type_tax_use	type_tax_use	type_tax_use	type_tax_use	type_tax_use
account.tax	amount	value	${amount}	${amount}	${amount}	${amount}	${amount}	${amount}	${amount}	${amount}	${amount}	${amount}
account.tax	type	value	type|all|purchase	all	all	all	purchase	purchase	purchase	purchase	purchase	purchase
account.tax	type_tax_use	value	type_tax_use|all|purchase	all	all	all	purchase	purchase	purchase	purchase	purchase	purchase
ir.model		merge	RES.PARTNER.ADRESS|RES.PARTNER	res.partner.adress	res.partner	res.partner	res.partner	res.partner	res.partner	res.partner	res.partner	res.partner
ir.model		model	BASE.ACTION.RULE.LEAD.TEST|BASE.AUTOMATION.LEAD.TEST	base.action.rule.lead.test	base.action.rule.lead.test	base.action.rule.lead.test	base.action.rule.lead.test	base.action.rule.lead.test	base.automation.lead.test	base.automation.lead.test	base.automation.lead.test	base.automation.lead.test
ir.model		model	BASE.ACTION.RULE.LINE.TEST|BASE.AUTOMATION.LINE.TEST	base.action.rule.line.test	base.action.rule.line.test	base.action.rule.line.test	base.action.rule.line.test	base.action.rule.line.test	base.automation.line.test	base.automation.line.test	base.automation.line.test	base.automation.line.test
ir.model		model	BASE.ACTION.RULE|BASE.AUTOMATION	base.action.rule	base.action.rule	base.action.rule	base.action.rule	base.action.rule	base.automation	base.automation	base.automation	base.automation
ir.model		model	HR.HOLIDAYS.STATUS|HR.LEAVE.TYPE	hr.holidays.status	hr.holidays.status	hr.holidays.status	hr.holidays.status	hr.holidays.status	hr.holidays.status	hr.leave.type	hr.leave.type	hr.leave.type
ir.model		model	HR.HOLIDAYS|HR.LEAVE	hr.holidays	hr.holidays	hr.holidays	hr.holidays	hr.holidays	hr.holidays	hr.leave	hr.leave	hr.leave
